Company Phone,Website,Industry,# Employees,Company,original_index,is_b2b,serves_1000,sales_pitch,matched_golden_partner,match_reasoning
'+41 56 204 08 88,http://www.trafobaden.ch,events services,27,Trafo Baden │ Congress. Hotels. Catering.,0,Yes,Yes,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Dienstleistungen, das sich auf die technische Systemrealisierung von Smarthome-Technologien und Datennetzwerken spezialisiert hat, was insbesondere für Eventlocations relevant ist. Für dieses Unternehmen generieren wir täglich {programmatic placeholder} Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",visitronic GmbH,"Überschneidung im Bereich IT-Dienstleistungen und technische Systemrealisierung.; Spezialisierung auf Smarthome-Technologie, die für Eventlocations relevant sein kann.; Angebote für Datennetzwerke und Telekommunikation, die für moderne Eventlocations wichtig sind."
'+41 27 922 29 49,http://www.trmi.ch,accounting,29,treuhand marugg + imsand,2,Yes,Yes,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Software für elektronische Signaturen, das sich ebenfalls an kleine und mittelständische Unternehmen richtet, die ihre Prozesse digitalisieren möchten und DATEV nutzen. Für dieses Unternehmen generieren wir täglich {programmatic placeholder} Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",tegoly,"Zielgruppe: KMUs (Kleine und Mittelständische Unternehmen); Produkte/Services: E-Signaturlösungen, die die Digitalisierung von Prozessen unterstützen; DATEV-Integration: tegoly bietet Lösungen speziell für DATEV-Nutzer (z.B. Steuerberater, Wirtschaftsprüfer), was eine potenzielle Synergie mit den Dienstleistungen von TRMI darstellt."
'+41 32 312 88 88,http://www.seelandjob.ch,staffing & recruiting,23,SEELAND JOB AG,3,Yes,Yes,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich digitale Personalvermittlungsplattform für Gesundheitsfachkräfte, das sich an Arbeitgeber im Gesundheitssektor richtet, darunter große Krankenhäuser und Kliniken. Für dieses Unternehmen generieren wir täglich {programmatic placeholder} Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",MEDWING GmbH,"Direkte Übereinstimmung im Bereich Personalvermittlung.; MEDWING konzentriert sich auf den Gesundheitssektor, während Seelandjob.ch branchenübergreifend agiert.; Beide bieten Dienstleistungen zur Personalbeschaffung an."
'+41 26 552 03 30,http://www.burningbox.ch,information technology & services,24,Burning Box SA,4,Yes,Yes,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Beratung, das sich auf die digitale Transformation im Industriesektor spezialisiert hat und Unternehmen mit komplexen technischen Anlagen anspricht. Für dieses Unternehmen generieren wir täglich {programmatic placeholder} Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",RODIAS GmbH,Ähnliche Dienstleistungen: Kundenspezifische Softwareentwicklung und IT-Beratung.; Gemeinsame Ausrichtung auf digitale Transformation und Prozessoptimierung.; Fokus auf die Entwicklung von Softwarelösungen für Unternehmen.
'+41 76 329 34 77,http://www.forum-fribourg.ch,events services,19,Forum Fribourg,7,Yes,Yes,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Business Consulting und Professional Training, das sich auf Mentoring-Programme und Veranstaltungen für Apothekenbesitzer spezialisiert hat, die ebenfalls Unternehmer ansprechen. Für dieses Unternehmen generieren wir täglich {programmatic placeholder} Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",Bodo Schmitz-Urban (also operates BSU-Akademie),"Bietet Dienstleistungen im Eventbereich an, ähnlich wie das Forum Fribourg.; Zielgruppe sind Unternehmer, was eine Überschneidung mit den Zielgruppen des Forums Fribourg darstellen könnte (z.B. Konferenzorganisatoren).; Bietet Networking-Veranstaltungen an, was eine potenzielle Synergie mit den Dienstleistungen des Forums Fribourg darstellt."
'+41 44 227 11 11,http://www.fatzerimbach.ch,marketing & advertising,16,FatzerImbach AG,10,Yes,Yes,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Personalvermittlung im Gesundheitswesen, das sich an Arbeitgeber wie Krankenhäuser und Kliniken richtet. Für dieses Unternehmen generieren wir täglich {programmatic placeholder} Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",MEDWING GmbH,"Gemeinsame Zielgruppe: Arbeitgeber im Gesundheitswesen (Krankenhäuser, Kliniken, Pflegeeinrichtungen); Überschneidung im Bereich Healthcare Communications durch Personalvermittlung im Gesundheitssektor; Fokus auf digitale Lösungen für den Healthcare-Bereich"
'+41 71 424 24 90,http://www.pezag.ch,electrical/electronic manufacturing,28,PEZAG AG,13,Yes,Yes,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein IT-Beratungsunternehmen, das sich auf die digitale Transformation im Industriesektor spezialisiert hat und Lösungen für die Wartung komplexer technischer Anlagen anbietet. Für dieses Unternehmen generieren wir täglich {programmatic placeholder} Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",RODIAS GmbH,"Überschneidung im Bereich Automatisierung und Digitalisierung von Prozessen.; Fokus auf die Optimierung und Wartung komplexer technischer Anlagen, was mit Energielösungen und industriellen Installationen in Verbindung steht.; Bietet IT-Lösungen für Industrieunternehmen an."
'+41 61 965 95 00,http://www.rero-ag.ch,mining & metals,22,RERO AG,14,Yes,Yes,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Beratung für die digitale Transformation in der Industrie, das sich auf die Instandhaltung und das Asset Management komplexer technischer Anlagen spezialisiert hat. Für dieses Unternehmen generieren wir täglich {programmatic placeholder} Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",RODIAS GmbH,"Überschneidung im Bereich der Industrie: RODIAS GmbH bietet IT-Lösungen für die Instandhaltung und das Asset Management komplexer technischer Anlagen.; RERO AG bietet Dienstleistungen für die Metallveredelung an, was in industriellen Umgebungen relevant ist.; RODIAS GmbH bietet Augmented Reality für Wartungsteams an, was für Unternehmen relevant sein könnte, die Metallveredelungsdienste nutzen."
'+41 71 634 66 66,http://www.thurtrans.ch,transportation/trucking/railroad,16,Thurtrans AG,16,Yes,Yes,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich digitale Logistiklösungen, das sich an Unternehmen in der Logistik- und Transportbranche richtet, die ihre Prozesse digitalisieren und effizienter gestalten möchten, insbesondere im Bereich Supply Chain Management. Für dieses Unternehmen generieren wir täglich {programmatic placeholder} Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",NxtLog,"Gemeinsame Branche: Logistik und Transport.; Ähnliche Produkte/Services: Digitale Lösungen für Logistikprozesse und Supply Chain Management.; Zielgruppe: Unternehmen in der Logistikbranche, die ihre Prozesse digitalisieren und effizienter gestalten wollen."
'+41 55 283 20 20,http://www.steriplus.ch,logistics & supply chain,17,Steriplus AG,18,Yes,Yes,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich HealthTech und Digitalisierung von Gesundheitsprozessen, das ebenfalls Krankenhäuser anspricht. Für dieses Unternehmen generieren wir täglich {programmatic placeholder} Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.",Elixion Medical,Gemeinsame Zielgruppe: Krankenhäuser.; Ähnliche Industrie: HealthTech und Digitalisierung von Gesundheitsprozessen.; Beide Unternehmen bieten Lösungen zur Verbesserung der Effizienz und Sicherheit im Gesundheitswesen.
