Company Name	Number	URL	is_b2b	serves_1000	sales_pitch	matched_golden_partner	match_reasoning	Industry	Avg Leads Per Day	Rank
Hivemind Technologies	'+49 30 80098140	http://www.hivemindtechnologies.com	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Beratung, das sich auf digitale Transformation im industriellen Sektor spezialisiert hat, insbesondere für die Wartung und das Anlagenmanagement komplexer technischer Anlagen. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	RODIAS GmbH	Gemeinsame Ausrichtung auf IT-Beratung und Softwareentwicklung.; Fokus auf digitale Transformation und Automatisierung von Prozessen, insbesondere im Bereich Wartung und Anlagenmanagement.; Angebot von kundenspezifischen Softwarelösungen.	Software Engineering Consultancy	8.0	19.0
CargoKite	'+49 89 52036527	http://www.cargokite.com	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich digitale Logistiklösungen, das sich an Unternehmen im Logistik- und Transportsektor richtet, die ihre Prozesse effizienter gestalten wollen. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	NxtLog	Gemeinsame Branche: Logistik und Transport.; Ähnliche Produkte/Services: Digitale Lösungen für Logistikprozesse und Supply Chain Management.; Fokus auf Effizienzsteigerung und Automatisierung in der Logistik.	Ocean Freight Transportation	5.0	20.0
Harz Guss Zorge	4955868020.0	http://www.harzguss.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Beratung, das sich auf die digitale Transformation im Industriesektor und insbesondere auf die Wartung komplexer technischer Anlagen spezialisiert hat. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	RODIAS GmbH	Beide Unternehmen bieten Lösungen für Industrieunternehmen an.; RODIAS GmbH bietet IT-Lösungen für die Wartung komplexer technischer Anlagen, was zu den Produkten von Harzguss passen könnte.; Harzguss stellt Komponenten für verschiedene Industriezweige her, während RODIAS GmbH sich auf die digitale Transformation in diesen Branchen konzentriert.	Manufacturing	8.0	19.0
Henry Schein Medical GmbH	'+49 800 7116032	http://www.henryschein-med.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Großhandel für Reinigungs- und Pflegeprodukte, das ebenfalls medizinische Einrichtungen und Pflegeeinrichtungen beliefert. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	GVS-GROSSVERBRAUCHERSPEZIALISTEN eG	Gemeinsame Zielgruppe: Versorgung von medizinischem Fachpersonal und Pflegeeinrichtungen.; Ähnliche Produkte/Services: Angebot von Desinfektionsmitteln, Hygieneartikeln und Produkten für die Altenpflege.; Breites Produktsortiment für den professionellen Bedarf im Gesundheitswesen.	Medical Supplies	5.0	32.0
HRWare Consulting GmbH & Co. KG	'+49 61 31888840	http://www.hrware.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Cloud-basierter HR-Software, das sich an mittelständische Unternehmen richtet. Für dieses Unternehmen generieren wir täglich 2 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	HRlab	Gemeinsame Ausrichtung auf HR-Software und -Technologie.; Ähnliche Produkte/Services: Personalmanagement, digitale Personalakte, Bewerbermanagement.; Fokus auf die Digitalisierung von HR-Prozessen.	HR Software and Consulting	2.0	45.0
CBTL GmbH	'+49 89 35893460	http://www.cbtl.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich E-Learning, das digitale Lernplattformen für Krankenhäuser, Pflegeheime und soziale Einrichtungen anbietet. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Relias Learning GmbH	Gemeinsame Branche: E-Learning und digitale Bildung im Gesundheits- und Sozialwesen.; Ähnliche Produkte/Services: Digitale Lernplattformen und E-Learning-Lösungen mit interaktiven Modulen.; Überschneidende Zielgruppe: Krankenhäuser, Pflegeheime und soziale Einrichtungen.	E-learning	8.0	6.0
Mark3D - Markforged	'+49 736 16339600	http://www.mark3d.com	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Construction Tech, das eine App für digitale Vermessung und Navigation im Tiefbau anbietet und sich an Bauunternehmen richtet. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	SitePlan GmbH	Ähnliche technologische Ausrichtung: Fokus auf digitale Lösungen und GPS-Technologie.; Überschneidung im Bereich Fertigung/Herstellung: SitePlan zielt auf Bauunternehmen ab, Mark3D bietet Lösungen für die additive Fertigung.; Beide Unternehmen bieten innovative Lösungen für ihre jeweiligen Branchen.	3D Printing	5.0	11.0
Sunbelt Rentals GmbH	'+49 79 42946240	http://www.sunbeltrentals.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Software für Bauingenieurwesen, das sich an Bauunternehmen richtet, die Tiefbauprojekte durchführen. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	SitePlan GmbH	Überschneidung im Baugewerbe/Infrastrukturprojekten.; SitePlan bietet Software für Tiefbau, Sunbelt Rentals bietet Bodenschutzsysteme für Baustellen.; Beide zielen auf Unternehmen ab, die Bauprojekte durchführen.	Ground Protection Systems	5.0	11.0
IKP Institut für Körperzentrierte Psychotherapie	41442422930.0	http://www.ikp-therapien.com	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich E-Learning und digitale Weiterbildung im Gesundheits- und Sozialwesen, das sich an Krankenhäuser, Pflegeheime und soziale Einrichtungen richtet. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	Relias Learning GmbH	Ähnliche Ausrichtung auf den Bildungsbereich: Relias Learning bietet digitale Lernplattformen, während IKP Therapien Ausbildungen in Psychotherapie anbietet.; Überschneidung im Gesundheits- und Sozialwesen: Relias Learning zielt auf Krankenhäuser und soziale Einrichtungen ab, was eine potenzielle Zielgruppenüberschneidung mit IKP Therapien darstellt.; Beide bieten Weiterbildungsmöglichkeiten an, wenn auch in unterschiedlichen Bereichen.	Psychotherapy and Education	8.0	6.0
Jenzer+Partner AG	'+41 32 392 38 69	http://www.jenzer-partner.ch	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Software für Bauingenieurwesen, das eine App für digitale Vermessung und Navigation im Tiefbau anbietet und sich an Bauunternehmen richtet. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	SitePlan GmbH	Ähnliche Branche: Software für Bauingenieurwesen/Bautechnik.; Überschneidung bei Dienstleistungen: SitePlan bietet eine App für digitale Vermessung und Navigation im Bauwesen, was zu den Ingenieurdienstleistungen von Jenzer passt.; Gemeinsame Zielgruppe: Bauunternehmen, insbesondere im Tiefbau.	Architecture and Engineering	5.0	11.0
OSMO Membrane Systems GmbH	'+49 7150 20660	http://www.osmo-membrane.de	Yes	Yes	Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich IT-Consulting, das sich auf die digitale Transformation im Industriesektor spezialisiert hat, insbesondere für die Wartung und das Asset Management komplexer technischer Anlagen. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.	RODIAS GmbH	Fokus auf die Optimierung von Prozessen in Industrieunternehmen.; Angebot von IT-Lösungen für die Wartung und das Asset Management komplexer technischer Anlagen.; Ähnliche Zielgruppe: Industrieunternehmen mit komplexen technischen Anlagen.	Water and Process Fluid Treatment	8.0	19.0
