Company Name,Original_Number,URL,is_b2b,is_b2b_reason,serves_1000,serves_1000_reason,found_number,sales_pitch,description,matched_golden_partner,match_reasoning,Industry,Matched Partner Description,Avg Leads Per Day,Rank,B2B Indicator,Phone Outreach Suitability,Target Group Size Assessment,Products/Services Offered,USP/Key Selling Points,Customer Target Segments,Business Model,Company Size Inferred,Innovation Level Indicators,Website Clarity Notes,Original Row Number,ScrapeStatus
Axel Schwartz People Management GmbH,'+49 221 82823880,http://www.axel-schwartz.de,Yes,"The company provides recruitment and consulting services to insurance agencies and companies, indicating a B2B focus. ""Wir bieten Versicherungsagenturen Unterstützung beim Wechsel..."" and ""...im Auftrag von Versicherungsunternehmen""",Yes,"The company works with insurance companies and agencies, suggesting a potentially large client base. The phrase ""Personalberatung für die Versicherungswirtschaft"" implies a broad reach within the insurance industry.",,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Personalvermittlung im Gesundheitswesen, das ebenfalls Unternehmen bei der Suche nach Fachkräften unterstützt. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","This company specializes in the placement of specialists and managers in the insurance industry, specifically in sales. They offer support to insurance agencies during transitions, both within and outside of exclusive distribution organizations. They also provide career counseling and new placement measures for individuals and on behalf of insurance companies. The company was recognized by WirtschaftsWoche as the best personnel consultant in 2019 in the ""Financial Services"" category. They offer practical methods for personnel selection, diagnostics, and development, combined with scientific findings from work and organizational psychology. They are a personnel consultancy for the insurance industry, offering personnel placement and headhunting services with industry knowledge and are a member of BDU (German Association of Management Consultants).",MS Company Solutions GmbH,"Gemeinsame Zielgruppe: Unternehmen, insbesondere im Versicherungs- und Gesundheitswesen (für Personalvermittlung).; Ähnliche Dienstleistungen: Personalvermittlung und Consulting.; Fokus auf die Vermittlung von Fachkräften.",Personnel Consulting for Insurance,"Industry: Consulting; Personnel Services (Recruitment); IT Project Management; Intercultural Training; Services/Products: Personnel placement (specializing in the healthcare sector, including managing the entire recruitment process); IT project management (consulting, development, and implementation of IT projects); Intercultural training (to bridge cultural differences and operate effectively in international contexts).; Target Audience: B2B (companies); Specifically, companies in the healthcare sector (for personnel placement); Companies requiring IT project management; Companies operating in or preparing for international contexts (for intercultural training).; Business Model: Service-oriented; Consulting-based; Project-based (for IT projects).; Company Size: Unknown/Not Specified; Innovation Level: ""Innovative solutions""; ""Development and implementation of IT projects.""",5.0,30,True,True,Appears Medium,Placement of specialists and managers; Support to insurance agencies during transitions; Career counseling; New placement measures; Personnel selection; Diagnostics; Development; Headhunting,Specialization in the insurance industry; Practical methods combined with scientific findings; Recognized as best personnel consultant in 2019 (Financial Services),Insurance agencies; Insurance companies; Specialists and managers in the insurance industry,Service-oriented; Personnel consulting and placement,SME,"Offers practical methods for personnel selection, diagnostics, and development, combined with scientific findings from work and organizational psychology.",The business model and target audience are reasonably clear from the summary.,2.0,Used_Fallback_Description
Veltum GmbH,'+49 171 2451029,http://www.veltum.de,Yes,"The company provides services for 'Gewerbeobjekt' (commercial properties) and 'Gewerbekunden' (business clients), indicating a B2B focus.",Yes,"The company offers services related to heating, ventilation, and air conditioning, which are scalable services. The mention of 'Gewerbeobjekt' also suggests serving multiple business locations.",,,,,LLM Partner Matching Failed or No Match Found,HVAC and Sanitation,,,,True,True,Appears Medium,Heating systems (including biomass and alternative energy); Ventilation technology; Air conditioning; Sanitation solutions; Smart electronic control systems,90 years of experience; Sustainable heating systems; Energy efficiency; Regional resources; Independence through on-site power generation,Private clients; Commercial clients,Service-oriented; Project-based consulting and implementation,SME,"High-tech solutions, digital craftsmanship, innovative business models, artificial intelligence in their podcast",Business model and target group are reasonably clear from the summary.,3.0,Success
Kreisstadt Siegburg,'+49 224 1102210,http://www.siegburg.de,Yes,"The text describes services provided by the city administration to businesses, such as ""Investitions- und Gewerbeflächen"" and ""Wirtschaftsförderung"", indicating B2B activities.",Yes,"The text describes a city administration providing services to a large population, implying a capacity to serve over 1,000 customers. The mention of 'Online-Services' and a 'Vergabeportal' further suggests a scalable operation.",,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Digitales Marketing, das ebenfalls Webdesign und Online-Shop-Entwicklung anbietet. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","The website represents the online presence of Kreisstadt Siegburg, a municipal administration in Germany. It provides a range of services and information to citizens, including online services for tasks like applying for personal documents, reporting issues, and accessing official announcements. The site offers information about city life, current news, events, and local government activities such as council meetings, which are also available via livestream. Key services include a service portal, online appointment booking, and a virtual citizen office. The website also provides information on topics such as construction projects, environmental protection, and economic development within Siegburg. It also promotes citizen participation through online platforms and feedback mechanisms. The site offers access to various municipal facilities and services, including the city library, museum, and tourist information. The website also provides information about local schools, childcare, and senior services. The site includes information about the Rathaus (city hall) renovation and other construction projects, as well as environmental initiatives and economic development plans. The website also provides access to online services, such as reporting issues and accessing official announcements.",PNP Media,Ähnliche Dienstleistungen: Webdesign und Entwicklung für Online-Dienste.; Fokus auf digitale Lösungen und Online-Präsenz.,Municipal Administration,"Industry: Digital Marketing Agency (Full-Service); Services/Products: Web Design & Development (creation of modern, user-friendly websites and online shops); Search Engine Optimization (SEO); Search Engine Advertising (SEA) & Google Ads; Performance Marketing (development of data-driven marketing strategies); Social Recruiting; Branding & Print Materials.; Target Audience: Businesses.; Business Model: Service-oriented (offers a broad palette of services).; Company Size: Startup / Small; Innovation Level: ""Innovative solutions""; ""Use of modern technologies and methods""; ""staying at the forefront of digital development.""",5.0,34,,True,Appears Large / >=500 potential,"Online services for personal documents; Issue reporting; Official announcements; Service portal; Online appointment booking; Virtual citizen office; Access to municipal facilities (library, museum); Tourist information",Range of services and information for citizens; Online accessibility; Citizen participation platforms,Citizens of Siegburg,Government services and information provider,Large Enterprise,Online platforms and feedback mechanisms for citizen participation.,The business model and target audience are clearly communicated as a municipal administration serving its citizens.,4.0,Success
REBO Landmaschinen GmbH,'+49 170 9203258,http://www.rebo-landmaschinen.de,Yes,"The company is involved in ""Land-, Bau und Industriegeschäft"" (agricultural, construction, and industrial business), indicating B2B activities.",Yes,"The company has ""13 Standorten in Niedersachsen und Schleswig-Holstein"" and ""über 300 Mitarbeiter"", suggesting a large-scale operation capable of serving over 1,000 customers.",,,,,LLM Partner Matching Failed or No Match Found,Agricultural Machinery,,,,True,True,Appears Large / >=500 potential,"Agricultural machinery (John Deere, Kramer, Pöttinger, Fliegl, Monosem, Perfect, Siloking, Marxen Gülletechnik); Service and support",High-quality agricultural machinery; Reliable and collaborative partnerships,Agricultural sector; Construction sector; Industrial sector,Sales and service of agricultural machinery,SME,,The business model and target audience are clearly articulated in the summary.,5.0,Used_Fallback_Description
wbv Publikation,'+49 521 911010,http://www.wbv.de,Yes,"The company provides publications and services to ""Wissenschafts-Community und die Fachöffentlichkeit in Institutionen, Bildungspraxis, Politik und Unternehmen.""",Yes,"The company is an ""international agierenden Wissenschaftsverlages!"" and serves the ""Wissenschafts-Community"", implying a large customer base.",,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Verlagswesen und digitale Marketing-Dienstleistungen, das sich ebenfalls an kleine und mittlere Unternehmen (KMU) richtet. Für dieses Unternehmen generieren wir täglich 1 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","wbv Publikation is a German publishing house that offers a wide range of publications in the fields of humanities, social sciences, education, administration, and law. Their program includes textbooks, journals, and periodicals covering subjects such as archeology, architecture, art, cultural studies, literature, linguistics, philosophy, pedagogy, social work, and sociology. They aim to reach the scientific community and professionals in institutions, educational practice, politics, and business. wbv Publikation supports authors in their publishing endeavors, providing expertise in data and text preparation and offering various publication options. They focus on international visibility and usability of content, allowing authors to concentrate on their research. They publish both in print and digitally, including open access options. wbv Publikation is a division of wbv Media.",Schlütersche Verlagsgesellschaft mbH & Co. KG,"Gemeinsame Branche: Verlagswesen und Medien.; Ähnliche Produkte/Services: Fachzeitschriften, Bücher und Online-Medien.; Gemeinsame Zielgruppe: Kleine und mittlere Unternehmen (KMU).",Publishing,"Industry: Media (Publishing & Digital Marketing Services); Services/Products: Specialist media (over 30 trade journals, books, and online media in sectors like crafts, construction, industry, automotive & mobility, animal health, economy, and education); Online marketing services for SMEs (including website creation, SEO, SEA, social media marketing); Directory media (e.g., ""Gelbe Seiten"" [Yellow Pages], ""Das Telefonbuch"" [The Phone Book]).; Target Audience: Small and medium-sized enterprises (SMEs) in Germany.; Business Model: Diversified: publishing (print and digital media, books), service-oriented (marketing services), directory media.; Company Size: Large; Innovation Level: Evolved into a ""modern, multimedia media group""; Offers ""digital services""; Provides ""online marketing services"" including website creation, SEO, SEA, and social media marketing.",1.0,41,True,True,Appears Large / >=500 potential,Textbooks; Journals; Periodicals; Data and text preparation; Publication options; Open access options,Expertise in data and text preparation; Focus on international visibility and usability; Support for authors,Scientific community; Professionals in institutions; Educational practice; Politics; Business,Publishing house offering print and digital publications,SME,"Focus on international visibility and usability of content, allowing authors to concentrate on their research. They publish both in print and digitally, including open access options.",The business model and target audience are clearly articulated in the summary.,6.0,Success
consaris AG,'+49 872 196110,http://www.consaris.de,Yes,"The company offers ""Steuerberatung, Wirtschaftsprüfung, Unternehmens- sowie Rechtsberatung"", which are business services.",Yes,"The company operates at ""5 Standorten in Bayern"", suggesting a capacity to serve a large number of customers.",,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich Software für Steuerberater, das eine Plattform zur Digitalisierung des Dokumentenaustauschs anbietet und sich an Steuerberatungskanzleien richtet. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","consaris AG is a German company offering services in tax consulting (Steuerberatung), auditing (Wirtschaftsprüfung), corporate consulting (Unternehmensberatung), and legal advice (Rechtsberatung). The consaris Group has five locations in Bavaria and serves clients in these areas.",DIGI-BEL,"Gemeinsame Zielgruppe: Steuerberater und Wirtschaftsprüfer, die digitale Lösungen suchen.; Ähnliche Dienstleistungen: Fokus auf die Digitalisierung von Prozessen und Dokumentenmanagement.; Ziel: Vereinfachung der Kommunikation und des Datenaustauschs zwischen Beratern und Mandanten.",Accounting and Legal Services,"Industry: Software (SaaS) for Tax Consultancies; Digital Document Management; Services/Products: Specialized platform for digitizing document exchange, document capture, and communication between tax consultancies and their clients; Client-friendly document capture; Secure document exchange (e.g., payroll, open items); Integrated chat and messaging functions.; Target Audience: Tax consultancies (primary); Clients of tax consultancies (as end-users of the simplified interface).; Business Model: SaaS (Software as a Service) platform.; Company Size: Unknown/Not Specified; Innovation Level: Focus on digitization (""Digitalisierung""); ""Smart bridge"" (""smarte Brücke"") concept; Mobile apps and web-based upload options; Aims to solve complexity issues with existing solutions.",5.0,46,True,True,Appears Medium,Tax consulting (Steuerberatung); Auditing (Wirtschaftsprüfung); Corporate consulting (Unternehmensberatung); Legal advice (Rechtsberatung),,,Service-oriented; Professional Services,SME,,The business model is clearly stated. The target group is not explicitly defined but inferred to be businesses needing accounting and legal services.,7.0,Used_Fallback_Description
Achenbach GmbH,,http://www.ottmar-achenbach.de,Yes,"The company offers 'BusinessCoaching' and 'CompanyCoaching', indicating services targeted at businesses.",Yes,"The text mentions '500+ Zufriedene Kunden im Bereich der Beratungs- und Trainingsleistung' and '10.000+ Vortrags- und Seminar-Teilnehmerinnen und -Teilnehmer', suggesting a large customer base and the capacity to serve over 1,000 customers.",,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für ein Unternehmen aus dem Bereich E-Learning und digitale Weiterbildung, das sich an Krankenhäuser, Pflegeheime und soziale Einrichtungen richtet. Für dieses Unternehmen generieren wir täglich 8 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","The Achenbach Akademie, founded by Ottmar Achenbach in Kolbermoor, Germany, focuses on people and organizational development. With over 25 years of expertise, the Akademie offers seminars, webinars, eLearning, and coaching in areas such as sales, leadership, service, and personality development. Their approach emphasizes the sustainability of knowledge transfer through intrinsic motivation, leveraging the participants' inherent motives. They offer BusinessCoaching for the 1st management level, CompanyCoaching for the 2nd and 3rd management levels, SalesCoaching for sales personnel, and UnternehmerTraum Coaching. The Akademie aims to support the 2nd and 3rd management levels in implementing the strategic goals of the 1st management level, focusing on change management, understanding company goals, achieving departmental objectives, leadership styles, and personal development. They provide coaching as a sparring partner, offering ideas, discussions, and moderation to develop strategies for achieving business goals. The target audience includes managers of the 2nd and 3rd management levels and individuals seeking to develop into top leaders. They emphasize values such as experience, honesty, flexibility, endurance, passion, responsibility, personality, trust, motivation, engagement, collaboration, exceptionality, sustainability, development, learning, growth, strengths, appreciation, clarity, decision-making skills, self-determination, consistency, innovation, quality, understanding, customer orientation, readiness, and security. They offer a newsletter to keep clients informed.",Relias Learning GmbH,Gemeinsame Ausrichtung auf E-Learning und digitale Bildung.; Ähnliche Dienstleistungen: Entwicklung von digitalen Lernplattformen und Online-Kursen.; Überschneidung im Zielmarkt: Personalentwicklung und Weiterbildung für Führungskräfte.,People and Organizational Development,"Industry: E-Learning; Digital Education for Healthcare and Social Services; Services/Products: Digital learning platforms; Tailored e-learning solutions for hospitals, nursing homes, social institutions, and emergency services; Online courses with interactive modules and certificates; Legally compliant digital certifications and automatic documentation for mandatory training; Personnel development with individual learning plans and competency analyses.; Target Audience: Healthcare sector (hospitals, nursing homes, medical professionals, nurses); Social care sector (social institutions, social workers); Emergency services.; Business Model: Provider of digital learning platforms and e-learning solutions (likely SaaS or subscription-based).; Company Size: SME (General); Innovation Level: Focus on ""digital"" solutions (digital further education, digital learning platforms, digital certificates, automatic documentation); E-Learning; Interactive modules; Development of digital education solutions.",8.0,6,True,True,Appears Medium,"Seminars; Webinars; eLearning; Coaching (Sales, Leadership, Service, Personality Development); BusinessCoaching; CompanyCoaching; SalesCoaching; UnternehmerTraum Coaching",Sustainability of knowledge transfer through intrinsic motivation; Leveraging participants' inherent motives; Coaching as a sparring partner,Managers of the 2nd and 3rd management levels; Individuals seeking to develop into top leaders,Service-oriented; Coaching and Training,SME,,The business model and target audience are reasonably clear from the summary.,8.0,Success
Deutscher Verband für Landschaftspflege e.V.,,http://www.dvl.org,Yes,"The organization ""bringt Land- und Forstwirtschaft, Naturschutz und Politik zusammen"" indicating it works with businesses and organizations, thus B2B.",Yes,"The text mentions being a ""Dachverband der Landschaftspflegeorganisationen in Deutschland"" and representing members' interests at a national and European level, implying a large network and capacity to serve many customers.",,,,,LLM Partner Matching Failed or No Match Found,Landscape Conservation,,,,True,True,Appears Medium,"Advice on conservation of landscapes and natural resources; Connecting stakeholders from agriculture, forestry, nature conservation, and politics; Advocacy for landscape conservation issues; Development of practical solutions based on regional landscape conservation practices","Bringing together agriculture, forestry, nature conservation, and politics; Balancing land use and value creation with the preservation of habitats; Representing interests at the national and European levels",Agriculture; Forestry; Nature conservation organizations; Political bodies; State administration; Interest groups; Science,"Membership-based organization providing services, advice, and advocacy",SME,Aims to create biodiversity and quality of life in the cultural landscape in a contemporary and sustainable way.,The business model and target audience are reasonably clear from the summary.,9.0,Success
Gericke GmbH,'+49 89 80035789,http://www.gerickeonline.de,Yes,"The company is a ""Unternehmensberatung"" (business consulting) focusing on ""kleineren und mittleren Unternehmen (KMU)"" (small and medium-sized enterprises).",No,"The company focuses on smaller and medium sized businesses, and there is no indication of large scale operations.",,,,,Pre-qualification failed: Capacity_Under_1000,Business Consulting / Management Consulting,,,,,,,,,,,,,,10.0,Success
markenteam behind you GmbH,'+49 351 438130,http://www.mbagentur.de,Yes,"The company provides services like 'Corporate Design', 'Webdesign', 'Social Media Marketing Kampagne' which are typically B2B services.",Yes,"The company lists 'ELBEPARK Dresden' and 'Sparkassen-Versicherung' as projects, suggesting they work with large organizations and have the capacity to serve many customers. They also mention having experience in over 25 different industries.",,"Ich rufe Sie an, weil wir bereits sehr erfolgreich ein ähnliches Projekt umgesetzt haben – für eine Digitalagentur, die sich auf Webdesign, SEO und Performance Marketing spezialisiert hat und Unternehmen anspricht. Für dieses Unternehmen generieren wir täglich 5 Leads und möchten gerne besprechen, wie wir das auch für Sie erreichen können.","markenteam behind you is a German digital and advertising agency based in Dresden with over 25 years of experience. They offer services in strategy, design, and development, focusing on brand and digital solutions. Their services include brand strategy, conception, social media marketing, campaign development, consulting, workshops, corporate design, web design, UI/UX, packaging, print design, motion design, POS design, trade fair stand design, web development, e-commerce solutions, software development, app development, AR/VR, and SEO/SEA. They emphasize teamwork, open communication, creativity, and industry knowledge. They serve various industries and aim to provide innovative and effective solutions for their clients' projects.",PNP Media,"Beide Unternehmen sind Digitalagenturen mit Fokus auf Webdesign und -entwicklung.; PNP Media bietet SEO/SEA und Performance Marketing an, was sich mit den Dienstleistungen der Zielgesellschaft deckt.; PNP Media bietet Branding- und Printmaterialien an, was sich mit dem Corporate Design der Zielgesellschaft überschneidet.",Digital and Advertising Agency,"Industry: Digital Marketing Agency (Full-Service); Services/Products: Web Design & Development (creation of modern, user-friendly websites and online shops); Search Engine Optimization (SEO); Search Engine Advertising (SEA) & Google Ads; Performance Marketing (development of data-driven marketing strategies); Social Recruiting; Branding & Print Materials.; Target Audience: Businesses.; Business Model: Service-oriented (offers a broad palette of services).; Company Size: Startup / Small; Innovation Level: ""Innovative solutions""; ""Use of modern technologies and methods""; ""staying at the forefront of digital development.""",5.0,34,True,True,Appears Large / >=500 potential,Brand strategy; Conception; Social media marketing; Campaign development; Consulting; Workshops; Corporate design; Web design; UI/UX; Packaging; Print design; Motion design; POS design; Trade fair stand design; Web development; E-commerce solutions; Software development; App development; AR/VR; SEO/SEA,Over 25 years of experience; Teamwork and open communication; Focus on brand and digital solutions; Innovative and effective solutions,,Service-oriented; Project-based agency,SME,They aim to provide innovative and effective solutions for their clients' projects.,"The business model and services are clearly communicated, but the target audience is not explicitly stated.",11.0,Success
